"ABO","term","E","P","A"
"behavior","quibble_with",-0.89,-0.23,0.95
"behavior","quiet",-0.35,1.32,-0.36
"behavior","quiz",0.61,0.86,0.34
"behavior","raise_the_pay_of",2.55,2.29,0.39
"behavior","rant_at",-1.66,0.18,2.19
"behavior","rape",-4.18,0.48,1.35
"behavior","ravish",0.24,1.24,1.42
"behavior","reason_with",2.6,2.17,-0.44
"behavior","reassure",2.85,2.23,-0.24
"behavior","rebel_against",-0.06,1.84,1.93
"behavior","rebuff",-0.59,1.01,0.88
"behavior","rebuke",-0.5,1.28,1.15
"behavior","reform",0.69,1.72,-0.04
"behavior","refuse",-0.87,1.28,0.64
"behavior","rehabilitate",3.03,2.57,-0.68
"behavior","reject",-1.33,0.96,0.3
"behavior","relish",0.84,0.91,0.35
"behavior","remember",2.26,1.82,-0.1
"behavior","remind",1.71,1.31,0.24
"behavior","renounce",-1.46,1.44,0.72
"behavior","repel",-1.44,1.34,0.67
"behavior","reply_to",2.36,1.41,0.76
"behavior","reprimand",-0.4,1.63,1.12
"behavior","reproach",-0.67,0.58,0.65
"behavior","repulse",-2.35,0.75,0.52
"behavior","request_something_from",0.3,0.25,-0.37
"behavior","rescue",3.45,3.29,1.91
"behavior","respect",3.35,2.5,-0.6
"behavior","restrain",-1.1,1.66,1.68
"behavior","retaliate_against",-1.2,0.9,1.6
"behavior","revere",1.61,1.42,-0.66
"behavior","reward",2.53,2.02,0.68
"behavior","rib",-1.15,0.04,0.9
"behavior","ridicule",-3,-0.05,1.4
"behavior","rob",-3.58,0.76,2.06
"behavior","rouse",0.63,1.14,1.35
"behavior","save",3.53,3.39,1.81
"behavior","say_farewell_to",-0.28,0.76,-0.89
"behavior","scare",-1.41,1.07,1.7
"behavior","scheming",-2.13,0.84,-0.5
"behavior","scoff_at",-2,-0.12,0.75
"behavior","scold",-1.34,1.48,1.52
"behavior","scorn",-1.83,1.06,1.12
"behavior","scowl_at",-1.89,0.3,-0.08
"behavior","scratch",-1.41,0.21,0.89
"behavior","scream_at",-2.37,1.36,3.3
"behavior","scrutinize",-1.7,0,0.5
"behavior","search",-0.23,0.74,0.56
"behavior","seduce",0.57,1.81,-0.3
"behavior","seek_advice_from",2.19,1.26,-0.53
"behavior","seize",-1.95,1.89,1.66
"behavior","sell_something_to",0.91,1.16,1.03
"behavior","sentence",-0.35,2.63,0.2
"behavior","serenade",2.24,1.6,0
"behavior","serve",1.49,0.78,-0.19
"behavior","sexually_arouse",2.28,2.34,0.96
"behavior","sexually_proposition",-1.12,1,0.5
"behavior","shaft",-2.56,0.73,0.89
"behavior","shake_hands_with",2.23,1.68,0.27
"behavior","shame",-2.62,0.61,0.67
"behavior","share_something_with",2.53,2.1,0.01
"behavior","shield",2.37,2.78,1.11
"behavior","shock",-0.69,1.44,1.79
"behavior","shoot",-3.6,1.34,3.07
"behavior","short_change",-2.5,-0.31,0
"behavior","shout_at",-1.38,1.37,2.69
"behavior","shove",-2.51,1.01,1.72
"behavior","show_something_to",1.1,0.94,0.02
"behavior","shun",-2.29,0.75,-0.26
"behavior","shush",-0.89,0.57,0.56
"behavior","sicken",-2.76,0.82,0.09
"behavior","silence",-1.02,1.32,0.49
"behavior","sing_to",2.28,1.74,1.66
"behavior","sit_next_to",1.08,0.6,-0.39
"behavior","slander",-3.18,0.69,1.4
"behavior","slap",-2.5,0.92,2.43
"behavior","slay",-3.26,1.87,1.28
"behavior","sleep_with",1.15,2.21,1.25
"behavior","slug",-2.72,1.06,1.45
"behavior","smile_at",3.16,2.6,-0.4
"behavior","smirk_at",-0.76,0.35,-0.45
"behavior","smother",-2.09,0.88,0.28
"behavior","snarl_at",-2.48,0.19,1.39
"behavior","sneer_at",-2.1,-0.22,0.13
"behavior","snub",-1.83,0,-0.09
"behavior","snuggle",2.73,1.3,-1.95
"behavior","sock",-2.65,0.94,2.22
"behavior","someone_is",0.22,-0.41,-0.85
"behavior","soothe",2.86,1.96,-1.56
"behavior","speak_to",2.31,1.52,1.69
"behavior","spoil",-0.69,1.03,0.67
"behavior","spurn",-1.53,0.3,0.83
"behavior","stab",-3.64,1.89,2.28
"behavior","stall",-0.91,0.07,-0.18
"behavior","stammer_at",-1,-0.73,0.58
"behavior","stare_at",-0.86,0.32,-1.41
"behavior","stare_down",-1.59,1.28,-1.29
"behavior","startle",-0.83,0.92,2.07
"behavior","steal_from",-3.26,0.41,0.09
"behavior","stop",0.24,1.81,1.24
"behavior","strangle",-3.97,2.09,1.21
"behavior","strip",-1.55,1.35,0.97
"behavior","stroke",1.21,0.66,-1.03
"behavior","study",1.01,1,-1.29
"behavior","stun",-0.34,1.84,1.75
"behavior","stymie",-0.82,0.65,0.26
"behavior","subdue",-0.8,1.49,0.73
"behavior","submit_to",-1.23,-1.26,-1.19
"behavior","suck_up_to",-1.52,-1.37,0.47
"behavior","sue",-1.02,1.49,0.94
"behavior","suggest_something_to",1.2,1.33,0.36
"behavior","summon",0.03,1.82,0.53
"behavior","supervise",1,2.16,-0.16
"behavior","support",3.01,2.68,0.22
"behavior","surprise",1.99,1.9,1.77
"behavior","suspect",-0.86,0.54,-0.61
"behavior","sweet_talk",0.95,1.79,0.35
"behavior","swindle",-2.69,0.36,0.65
"behavior","sympathize_with",2.66,2.04,-0.71
"behavior","tackle",-0.78,2.11,2.84
"behavior","talk_down_to",-2.85,-0.38,1.16
"behavior","talk_to",2.2,1.73,0.74
"behavior","tantalize",-0.91,0.6,0.56
"behavior","taunt",-2.34,0.18,1.47
"behavior","teach",2.87,2.84,0.2
"behavior","tease",-2.15,0.14,1.22
"behavior","tell_off",-1.05,0.96,2.03
"behavior","tempt",-1.32,1.07,0.12
"behavior","terrorize",-3.66,1.8,1.45
"behavior","test",0.36,1.21,0.12
"behavior","thank",3.26,2.62,0.15
"behavior","threaten",-3.18,1.29,1.68
"behavior","thrill",2.57,2.16,2.86
"behavior","tickle",0.88,1.32,2.27
"behavior","tip",2.98,2.12,-0.06
"behavior","titillate",0.66,1.27,1.27
"behavior","toast",2.05,1.42,1.43
"behavior","torment",-3.28,1.08,0.56
"behavior","torture",-3.73,1.66,1.08
"behavior","touch",1.03,1.35,-0.38
"behavior","train",1.98,2.08,0.37
"behavior","transact_business_with",1.49,1.44,0.49
"behavior","trap",-2.63,1.26,0.69
"behavior","treat",2.66,2.12,0.3
"behavior","trick",-1.99,0.51,0.29
"behavior","trust",3.34,3.04,-0.06
"behavior","turn_to",1.91,1.14,-0.17
"behavior","underestimate",-1.8,-0.54,-0.47
"behavior","undermine",-2.24,-0.24,-0.21
"behavior","underpay",-2.8,0.3,-0.46
"behavior","underrate",-1.86,0.13,-0.05
"behavior","understand",3.19,2.79,-0.49
"behavior","undress",1.08,1.73,-0.25
"behavior","unfriend",-1.33,0.93,-0.26
"behavior","unnerve",-1.37,1.39,0.47
"behavior","uplift",3.36,2.94,0.75
"behavior","upset",-2.51,1.08,0.95
"behavior","upstage",-1.21,1.27,1.95
"behavior","urge",0.65,1.51,1.37
"behavior","use",-2.66,0.14,-0.32
"behavior","value",2.96,2.35,-0.31
"behavior","vex",-1.88,0.7,0.39
"behavior","victimize",-3.27,0.67,0.86
"behavior","visit",2.55,1.33,-0.02
"behavior","wait_on",0.65,-0.71,-1.79
"behavior","walk_out_on",-2.35,1.08,0.74
"behavior","warn",2.28,1.97,1.24
"behavior","wash",1.36,1.16,-0.3
"behavior","watch",0.2,0.54,-1.59
"behavior","wed",3,2.8,0.46
"behavior","welcome",2.99,2,1.04
"behavior","wheedle",-1.21,0.57,0.2
"behavior","whine_to",-1.94,-1.56,1.49
"behavior","whip",-3.25,2.14,2.47
"behavior","whisper_to",0.41,0.08,-2.5
"behavior","wink_at",1.52,0.87,0.02
"behavior","work",0.27,1.51,0.99
"behavior","worship",0.01,0.41,0.37
"behavior","wrestle_with",-0.12,1.21,2.36
"behavior","wrong",-2.92,0.69,0.5
"behavior","yell_at",-1.74,1.13,2.64
"behavior","yield_to",0,-0.79,-0.99
