"ABO","term","E","P","A"
"Actor","nursing_assistant",2.32,0.94,0.38
"Actor","nut",-0.01,-0.74,0.38
"Actor","nutritionist",2.3,1.2,0.16
"Actor","oddball",0.24,-0.54,0
"Actor","offender",-2.37,0.54,1.22
"Actor","old_geezer",0.28,-0.75,-1.8
"Actor","old_man",1.4,-0.56,-2.05
"Actor","online_merchant",0.8,0.86,0.25
"Actor","onlooker",-0.02,-0.82,-1.23
"Actor","ophthalmologist",1.6,1.43,-0.34
"Actor","opponent",-0.19,1.17,1.01
"Actor","opportunist",1.27,2.07,1.61
"Actor","optical_engineer",1.56,1.25,-0.45
"Actor","optimist",2.83,2.38,1.2
"Actor","organizer",2.07,1.68,0.48
"Actor","orphan",0,-1.98,-1.14
"Actor","outlaw",-1.75,0.58,0.83
"Actor","outsider",0.03,-0.94,-0.73
"Actor","pagan",-0.49,-0.34,0.1
"Actor","pal",2.75,1.69,0.8
"Actor","paranoid",-1.25,-1.38,0.56
"Actor","parent",2.55,3.06,0.96
"Actor","parking_attendant",0.29,-0.29,-0.4
"Actor","parolee",-0.62,-0.71,0.21
"Actor","part_time_employee",0.93,-0.61,-0.03
"Actor","partner",2.31,1.53,0.42
"Actor","passenger",0.64,-0.63,-0.09
"Actor","passerby",0.29,-0.63,-0.54
"Actor","pastor",1.89,2.31,0.72
"Actor","patient",0.57,-1.49,-1.28
"Actor","patriot",1.69,1.59,1.54
"Actor","patrolman",1.01,1.24,0.33
"Actor","pawnbroker",-0.39,0.42,0.95
"Actor","pedestrian",0.66,-0.56,-0.54
"Actor","pediatrician",3.01,2.52,0.53
"Actor","peer",1.8,0.77,0.4
"Actor","person",0.93,0.95,0.35
"Actor","pessimist",-1.88,-0.89,-0.77
"Actor","pest",-2.41,-0.03,1.73
"Actor","pharmacist",2.09,1.38,-0.42
"Actor","philanthropist",2.56,1.98,0.28
"Actor","philosopher",1.47,0.89,-1.03
"Actor","phony",-2.93,-1.75,0.99
"Actor","photographer",1.68,1.2,-0.68
"Actor","physician",2.41,2.35,-0.04
"Actor","physicist",1.6,1.41,-0.43
"Actor","pickpocket",-2.95,0.43,-0.26
"Actor","pimp",-3.03,1.54,1.56
"Actor","plaintiff",0.17,0.65,0.22
"Actor","playboy",-1.04,0.46,1.96
"Actor","plumber",1.51,0.39,-0.11
"Actor","police_officer",1.05,2.49,1.43
"Actor","policeman",0.91,2.29,1.3
"Actor","policewoman",1.29,1.95,1.34
"Actor","political_scientist",0.81,0.86,0.3
"Actor","politician",-0.85,2.08,1.44
"Actor","pornographer",-1.26,0.51,0.92
"Actor","poser",-1.99,-1.73,0.36
"Actor","pothead",-0.8,-1.39,-1.88
"Actor","preacher",1.4,2.05,0.87
"Actor","president",1.29,2.98,1.13
"Actor","priest",1.89,2.13,-0.91
"Actor","principal",1.57,2.42,0.74
"Actor","prisoner",-1.81,-2.27,-0.43
"Actor","private_eye",0.35,1.47,-1.21
"Actor","probation_officer",0.12,2.09,0.73
"Actor","probationer",-0.15,0.58,0.41
"Actor","prodigy",2.18,2.41,0.88
"Actor","professional",1.72,2.23,0.09
"Actor","professor",1.83,2.27,0.24
"Actor","prosecuting_attorney",0.17,2.28,1.77
"Actor","prosecutor",0.15,2.53,1.46
"Actor","prostitute",-1.35,-1.35,0.93
"Actor","prude",-1.09,-0.43,-0.61
"Actor","psychiatric_patient",-0.22,-1.48,0.1
"Actor","psychiatrist",1.68,1.71,-1.02
"Actor","psychoanalyst",0.82,1.22,-0.58
"Actor","psychologist",1.61,1.44,-0.89
"Actor","psychopath",-2.4,0.33,0.97
"Actor","psychotic",-1.7,-0.38,1.28
"Actor","public_relations_specialist",1.5,1.74,1.24
"Actor","punk",-1.29,-0.98,1.25
"Actor","pupil",1.76,0.16,-0.19
"Actor","puritan",0.31,-0.24,-0.83
"Actor","pusher",-1.26,1.14,1.46
"Actor","quack",-1.37,-1.03,1.33
"Actor","queer",0.19,-0.38,0.97
"Actor","rabbi",1.97,1.99,-0.62
"Actor","racist",-3.6,-1.01,1.43
"Actor","racketeer",-0.97,0.77,1.29
"Actor","radio_and_television_announcer",0.76,1.24,2.44
"Actor","railroad_conductor",1.05,1.18,0.94
"Actor","railroad_engineer",1.17,1.05,1.07
"Actor","rake",0.94,-0.18,0.17
"Actor","rancher",1.06,0.38,-0.05
"Actor","rapist",-3.87,1.21,1.17
"Actor","rat",-1.98,-1.49,0.62
"Actor","real_estate_agent",0.79,1.04,1.21
"Actor","receptionist",1.27,-0.16,-0.04
"Actor","redneck",-0.83,-0.45,1.82
"Actor","referee",0.71,2.06,1.45
"Actor","relation",1.88,1.74,0.14
"Actor","relative",2.35,1.59,0.96
"Actor","reporter",0.66,1.46,2.08
"Actor","republican",0.15,0.92,0.62
"Actor","researcher",1.93,1.8,-0.56
"Actor","reservist",0.91,0.16,-0.82
"Actor","restaurant_operator",1.33,1.65,1.92
"Actor","retailer",0.54,0.79,1.01
"Actor","retiree",1.17,-0.15,-1.48
"Actor","ringleader",0.12,2.52,1.81
"Actor","rival",-0.88,1.28,1.32
"Actor","robber",-3.21,0.53,-0.04
"Actor","roofer",0.86,0.41,0.92
"Actor","rookie_cop",0.38,-0.62,0.2
"Actor","roommate",1.32,0.63,0.6
"Actor","runaway",-0.66,-0.62,0.34
"Actor","sadist",-2.34,0.87,0.55
"Actor","safecracker",-1.18,0.95,-0.49
"Actor","saint",3.12,2.47,-1.21
"Actor","salesclerk",0.77,-0.01,1.08
"Actor","salesperson",0.15,0.39,2.14
"Actor","scapegoat",-1.4,-1.59,-0.87
"Actor","scatterbrain",-1.4,-1.2,1.81
"Actor","schizophrenic",-0.92,-1.08,1.52
"Actor","scholar",2.48,2.24,-0.45
"Actor","scientist",1.89,1.84,-0.35
"Actor","scoundrel",-2.61,-0.46,1.4
"Actor","scrooge",-2.27,-0.37,-0.71
"Actor","secretary",1.59,-0.22,-0.31
"Actor","security_guard",1.38,1.49,-0.11
"Actor","self_employed_worker",1.87,1.81,0.85
"Actor","senator",0,2.12,0.81
"Actor","senior_citizen",1.67,-0.69,-1.74
"Actor","servant",0.53,-1.83,-1.24
"Actor","server",1.77,-0.07,0.71
"Actor","sewing_machine_operator",1.03,-0.53,-0.07
"Actor","sheet_metal_worker",0.91,0.31,1.15
"Actor","sheriff",1.07,2.42,1.07
"Actor","ship_captain",1.89,2.54,1.47
"Actor","ship_engineer",1.62,1.93,0.38
"Actor","shoe_repairman",1.49,0.15,-0.45
"Actor","shop_clerk",1.27,-0.38,0.1
"Actor","shopkeeper",1.15,0.25,0.22
"Actor","shoplifter",-2.35,-0.57,-0.3
"Actor","shopper",0.82,0.52,0.6
"Actor","shrew",-1.05,-1.14,0.18
"Actor","shrimp",0.96,-2.18,-1.11
"Actor","shrink",0.99,1.01,-0.9
"Actor","shut_in",-0.92,-1.96,-2.24
"Actor","shyster",-1.12,-1.09,-0.94
"Actor","sibling",2.31,1.49,1.43
"Actor","sidekick",1.67,-0.06,0.41
"Actor","simpleton",-0.38,-1.57,-1.41
"Actor","single_parent",1.07,1.16,0.57
"Actor","sinner",-1.72,-0.75,0.77
"Actor","sissy",-1.32,-1.86,-0.6
"Actor","sister",1.91,1.23,1.06
"Actor","sister_in_law",1.01,0.06,0.33
"Actor","skeptic",-0.05,0.28,-0.07
"Actor","skilled_worker",2.38,2.07,0.52
"Actor","slave",-1.86,-2.85,-1.28
"Actor","slave_driver",-3.28,1.6,1.66
"Actor","sleuth",-0.4,0.82,-1.26
"Actor","slob",-2.4,-1.22,-0.89
"Actor","slut",-1.89,-0.96,1.35
"Actor","smart_aleck",-1.24,-0.19,2.04
"Actor","smoker",-1.63,-1.26,-0.51
"Actor","snob",-2.34,-0.43,0.95
"Actor","snoop",-1.91,0.03,-1.61
"Actor","snot",-2.11,-0.89,0.77
"Actor","social_worker",2.12,1.27,-0.1
"Actor","socialist",-0.12,0.39,0.43
"Actor","soldier",1.84,1.88,1.45
"Actor","son",1.68,1.4,0.86
"Actor","son_in_law",1.04,0.32,0.07
"Actor","sophisticate",1.55,1.9,0.07
"Actor","sophomore",0.96,0.14,0.55
"Actor","sorehead",-1.93,-0.76,0.11
"Actor","soulmate",3.26,2.85,0.4
"Actor","specialist",2.01,2.11,0.52
"Actor","spectator",0.49,-0.6,-0.21
"Actor","speech_language_pathologist",1.86,1.22,-0.43
"Actor","speeder",-1.2,0.7,2.84
"Actor","spoilsport",-1.91,-0.25,0.9
"Actor","spook",-1.07,0.23,0.98
"Actor","sports_fan",1.24,0.33,3.08
"Actor","spouse",2.7,1.94,0.39
"Actor","spy",-0.05,1.66,-1.03
"Actor","star",1.95,2.45,0.85
"Actor","state_trooper",0.33,2.23,1.08
"Actor","statistician",0.91,0.63,-0.7
"Actor","steel_worker",0.83,0.53,1.05
"Actor","stenographer",0.74,0.06,-0.4
"Actor","stepbrother",0.46,0.25,0.51
"Actor","stepchild",0.2,-0.29,0.22
"Actor","stepdaughter",0.92,0.17,0.46
"Actor","stepfather",0.24,0.7,0.19
"Actor","stepmother",0.12,0.35,0.36
"Actor","stepparent",-0.1,-0.05,-0.05
"Actor","stepsister",0.5,0.19,0.31
"Actor","stepson",0.54,-0.08,0.56
"Actor","stockbroker",0.27,1.82,1.51
"Actor","stockholder",0.58,1.12,0.53
"Actor","storyteller",2.15,1.62,0.3
"Actor","stranger",-0.15,-0.13,-0.2
"Actor","street_musician",1.23,-0.45,1.71
"Actor","street_preacher",-0.36,-0.4,2.06
"Actor","streetwalker",-0.81,-1.33,0
"Actor","stripper",-1.12,-1.14,1.13
"Actor","student",1.67,0.48,0.11
"Actor","student_teacher",1.8,0.32,0.47
"Actor","subordinate",0.2,-1.28,-0.85
"Actor","sucker",-1.39,-1.93,-0.53
"Actor","superior",0.68,2.66,1.07
"Actor","superordinate",0.36,0.77,0.35
"Actor","supervisor",0.76,1.99,0.73
"Actor","supporter",2.72,2.22,1.12
"Actor","surgeon",2.92,3.05,-0.33
"Actor","survivor",2.9,2.8,0.63
"Actor","suspect",-0.97,-0.94,-0.3
"Actor","sweetheart",2.75,1.54,0.07
"Actor","switchboard_operator",0.79,0.54,0.74
"Actor","systems_engineer",1.36,1.41,-0.06
"Actor","tailor",1.25,0.09,-0.6
"Actor","tax_preparer",0.69,1.31,-0.7
"Actor","taxi_driver",0.75,-0.34,1.67
"Actor","taxpayer",1.3,-0.2,-0.14
"Actor","teacher",2.5,2.31,0.32
"Actor","teammate",2.76,2.17,1.72
"Actor","tease",-1.29,0.41,0.81
"Actor","technician",1.67,1.08,0.45
"Actor","teenager",0.24,-0.58,1.78
"Actor","teetotaler",-0.25,-0.33,0.08
"Actor","telemarketer",-1.76,-1.55,1.76
"Actor","telephone_installer",0.93,-0.11,0.04
"Actor","telephone_operator",0.4,-0.18,0.57
"Actor","temporary_worker",0.53,-1.28,-0.28
"Actor","tenant",0.73,-0.69,-0.04
"Actor","terrorist",-3.8,2.16,1.13
"Actor","textile_worker",0.82,-0.68,0.2
"Actor","thief",-3.13,-0.05,-0.62
"Actor","thug",-2.41,0.38,1.29
"Actor","ticket_taker",0.36,-0.47,0.09
"Actor","toddler",1.28,-1.6,2.1
"Actor","tomboy",0.72,0.73,0.86
"Actor","tool_and_die_maker",0.8,0.19,-0.15
"Actor","topless_dancer",-0.63,-0.49,1.54
"Actor","tot",0.77,-1.6,1.27
"Actor","tourist",0.55,-0.83,1.19
"Actor","trainee",0.88,-1.42,-0.62
"Actor","traitor",-2.8,0.12,-0.51
"Actor","tramp",-2.18,-1.43,1.11
"Actor","transportation_ticket_agent",0.4,0.01,0.26
"Actor","travel_agent",1.43,0.54,0.98
"Actor","traveler",1.55,0.73,0.57
"Actor","trespasser",-2.26,0.04,-0.73
"Actor","troublemaker",-2.2,0.65,2.26
"Actor","truant",-0.69,0.03,0.26
"Actor","truck_driver",0.61,0.55,0.51
"Actor","truelove",3.29,3.14,0.47
"Actor","tutor",2.39,1.66,-0.31
"Actor","tv_repairman",0.96,-0.04,-0.21
"Actor","typist",0.61,-0.38,1.04
"Actor","umpire",0.97,1.86,1.51
"Actor","uncle",1.85,1.13,0.74
"Actor","underachiever",-1.79,-1.81,-1.42
"Actor","underdog",1.14,-0.63,-0.22
"Actor","undergraduate",1.58,0.03,1.2
"Actor","undertaker",0.39,0.86,-0.61
"Actor","unemployed_person",-0.49,-1.74,-1.05
"Actor","union_member",0.75,0.78,1.14
"Actor","university_student",1.64,0.77,1.48
"Actor","unwanted_child",-1.63,-1.91,-0.66
"Actor","unwed_father",-0.19,0.25,0.04
"Actor","unwed_mother",-0.02,0.15,0.4
"Actor","unwed_parent",-0.09,0.21,0.17
"Actor","usher",1.61,0.83,-0.29
"Actor","vagrant",-1.44,-1.6,-0.44
"Actor","vandal",-2.07,-0.19,0.61
"Actor","veterinarian",2.8,2.01,-0.09
"Actor","victim",-0.3,-2.53,-1.26
"Actor","vigilante",-0.13,1.1,1.49
"Actor","villain",-3.12,1.62,1.29
"Actor","vip",1.02,2.27,1.28
"Actor","virgin",1.53,1,-0.95
"Actor","visitor",1.17,-0.09,0.12
"Actor","voter",1.92,1.71,-0.01
"Actor","wage_earner",1.76,1.13,0.09
"Actor","waiter",1.31,-0.16,1.27
"Actor","waitress",1.5,-0.21,1.3
"Actor","wallflower",0.24,-1.35,-2.14
"Actor","ward_of_the_state",0.02,-0.47,-0.06
"Actor","warden",-0.18,2.25,0.84
"Actor","watchman",1.5,1.4,-1.28
"Actor","weakling",-1.31,-2.77,-1.87
"Actor","web_developer",1.21,1.22,-0.96
"Actor","weirdo",-0.59,-0.78,-0.19
"Actor","welder",0.92,0.51,0.88
"Actor","welfare_recipient",-0.41,-2.02,-0.74
"Actor","white_collar_worker",1.06,1.26,0.42
"Actor","white_man",0.82,1.67,0.4
"Actor","white_supremacist",-3.25,-0.28,1.32
"Actor","white_woman",0.89,0.8,0.21
"Actor","wholesaler",0.8,1.08,0.54
"Actor","whore",-1.69,-1.47,1.31
"Actor","widow",-0.1,-0.54,-1.27
"Actor","widower",-0.34,-1.02,-1.37
"Actor","wife",2.62,2.21,1.03
"Actor","wife_abuser",-3.87,0.75,1.7
"Actor","windbag",-0.74,-0.42,0.99
"Actor","winner",2.73,2.81,2.01
"Actor","witness",1.46,1.73,0.03
"Actor","woman",1.75,1.14,0.46
"Actor","womanizer",-1.85,0.73,1.64
"Actor","worker",1.43,0.37,0.48
"Actor","writer",1.55,2.03,-1.18
"Actor","youngster",1.1,-0.81,2.14
